5min_interval,cart,purchase,view
2019-11-01 00:00:00+00:00,3,3.0,720
2019-11-01 00:05:00+00:00,8,5.0,718
2019-11-01 00:10:00+00:00,12,14.0,765
2019-11-01 00:15:00+00:00,10,8.0,763
2019-11-01 00:20:00+00:00,10,10.0,726
2019-11-01 00:25:00+00:00,4,11.0,873
2019-11-01 00:30:00+00:00,10,14.0,951
2019-11-01 00:35:00+00:00,10,10.0,1005
2019-11-01 00:40:00+00:00,14,13.0,1011
2019-11-01 00:45:00+00:00,7,5.0,984
2019-11-01 00:50:00+00:00,3,7.0,1067
2019-11-01 00:55:00+00:00,9,14.0,1090
2019-11-01 01:00:00+00:00,9,14.0,1245
2019-11-01 01:05:00+00:00,5,6.0,1033
2019-11-01 01:10:00+00:00,0,0.0,38
2019-11-01 01:15:00+00:00,0,0.0,16
2019-11-01 01:20:00+00:00,1,0.0,94
2019-11-01 01:25:00+00:00,5,5.0,870
2019-11-01 01:30:00+00:00,4,13.0,1286
2019-11-01 01:35:00+00:00,11,12.0,1539
2019-11-01 01:40:00+00:00,7,8.0,1801
2019-11-01 01:45:00+00:00,11,19.0,1879
2019-11-01 01:50:00+00:00,17,16.0,1967
2019-11-01 01:55:00+00:00,29,26.0,2014
2019-11-01 02:00:00+00:00,17,30.0,2150
2019-11-01 02:05:00+00:00,21,27.0,2261
2019-11-01 02:10:00+00:00,32,26.0,2202
2019-11-01 02:15:00+00:00,19,30.0,2451
2019-11-01 02:20:00+00:00,25,36.0,2482
2019-11-01 02:25:00+00:00,21,28.0,2625
2019-11-01 02:30:00+00:00,40,34.0,2644
2019-11-01 02:35:00+00:00,46,47.0,2820
2019-11-01 02:40:00+00:00,29,44.0,2826
2019-11-01 02:45:00+00:00,26,40.0,2925
2019-11-01 02:50:00+00:00,26,43.0,3122
2019-11-01 02:55:00+00:00,40,41.0,3222
2019-11-01 03:00:00+00:00,39,53.0,3317
2019-11-01 03:05:00+00:00,48,79.0,3615
2019-11-01 03:10:00+00:00,38,76.0,3603
2019-11-01 03:15:00+00:00,50,64.0,3651
2019-11-01 03:20:00+00:00,39,73.0,3952
2019-11-01 03:25:00+00:00,54,69.0,3984
2019-11-01 03:30:00+00:00,48,70.0,4098
2019-11-01 03:35:00+00:00,57,78.0,4236
2019-11-01 03:40:00+00:00,67,75.0,4139
2019-11-01 03:45:00+00:00,62,80.0,4234
2019-11-01 03:50:00+00:00,68,81.0,4531
2019-11-01 03:55:00+00:00,85,94.0,4441
2019-11-01 04:00:00+00:00,74,87.0,4279
2019-11-01 04:05:00+00:00,65,105.0,4551
